[7 августа 2019 || 15:41:56][CID: 18] @id496175718 - викторина начать
[7 августа 2019 || 15:41:58][CID: 18] @id496175718 - хм
[7 августа 2019 || 15:42:14][CID: 18] @id496175718 - помощь
[7 августа 2019 || 15:42:21][CID: 18] @id496175718 - развлечения
[7 августа 2019 || 15:42:29][CID: 18] @id496175718 - qr qqq
[7 августа 2019 || 15:42:33][CID: 18] @id496175718 - хм
[7 августа 2019 || 15:42:42][CID: 18] @id496175718 - мем
[7 августа 2019 || 15:42:45][CID: 18] @id496175718 - сохра
[7 августа 2019 || 15:42:58][CID: 18] @id496175718 - переведи language
[7 августа 2019 || 15:43:15][CID: 18] @id496175718 - хм
[7 августа 2019 || 15:43:24][CID: 18] @id496175718 - кнопка привет
[7 августа 2019 || 15:43:30][CID: 18] @id496175718 - кнопка привет2
[7 августа 2019 || 15:43:35][CID: 18] @id496175718 - кнопка привет
[7 августа 2019 || 15:43:41][CID: 18] @id496175718 - кнопка ку
[7 августа 2019 || 15:43:48][CID: 18] @id496175718 - кнопка удалить
[7 августа 2019 || 15:43:53][CID: 18] @id496175718 - кнопка помощь
[7 августа 2019 || 15:44:01][CID: 18] @id496175718 - кнопка профиль
[7 августа 2019 || 15:44:12][CID: 18] @id495598567 - [club181383219|TEST] Помощь
[7 августа 2019 || 15:44:31][CID: 18] @id496175718 - manager
[7 августа 2019 || 15:44:40][CID: 18] @id496175718 - registratiom
[7 августа 2019 || 15:44:45][CID: 18] @id496175718 - registration
[7 августа 2019 || 15:44:51][CID: 18] @id496175718 - deny links
[7 августа 2019 || 15:45:01][CID: 18] @id496175718 - Block title
[7 августа 2019 || 15:45:06][CID: 18] @id496175718 - хм
[7 августа 2019 || 15:45:27][CID: 18] @id496175718 - хых
[7 августа 2019 || 15:45:32][CID: 18] @id496175718 - [club181383219|@ggvp11111] Помощь
[7 августа 2019 || 15:45:46][CID: 18] @id496175718 - Rules ку-ку
[7 августа 2019 || 15:45:51][CID: 18] @id496175718 - киньте ссылку
[7 августа 2019 || 15:45:54][CID: 18] @id496175718 - кто-нибудь
[7 августа 2019 || 15:46:13][CID: 18] @id496175718 - Block title test
[7 августа 2019 || 15:46:20][CID: 18] @id495598567 - https://vk.com/ggvp11111
[7 августа 2019 || 15:46:27][CID: 18] @id496175718 - азазазаззаза
[7 августа 2019 || 15:46:59][CID: 18] @id495598567 - )))
[7 августа 2019 || 15:46:59][CID: 18] @id496175718 - ну вроде починил
[7 августа 2019 || 15:47:04][CID: 18] @id496175718 - сука
